obj_vol_annee,obj_vol_anneemois,obj_vol_mois,obj_vol_type_inter,obj_vol_type_machine,obj_vol_key_item,obj_vol_alias_type_inter,obj_vol_alias_type_machine,obj_vol_grp_machine,obj_vol_objectif_valeur
2026,20268,8,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,7
2026,20269,9,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,10
2026,202610,10,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,9
2026,202611,11,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,10
2026,202612,12,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,9
2026,20261,1,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20262,2,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,2
2026,20263,3,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20264,4,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20265,5,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20266,6,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20267,7,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20268,8,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20269,9,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,202610,10,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,202611,11,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,202612,12,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2026,20261,1,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,17
2026,20262,2,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,9
2026,20263,3,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,30
2026,20264,4,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,30
2026,20265,5,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,26
2026,20266,6,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,29
2026,20267,7,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,25
2026,20268,8,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,22
2026,20269,9,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,27
2026,202610,10,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,29
2026,202611,11,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,28
2026,202612,12,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,25
2026,20261,1,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,510
2026,20262,2,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,480
2026,20263,3,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,478
2026,20264,4,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,461
2026,20265,5,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,376
2026,20266,6,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,472
2026,20267,7,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,402
2026,20268,8,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,321
2026,20269,9,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,431
2026,202610,10,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,461
2026,202611,11,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,427
2026,202612,12,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,371
2026,20261,1,curative,momentoblack,curative_momentoblack,CURATIVE,MOMENTO BLACK,TRANSPORTABLES,0
