article_ref_nomad,article_desc,article_ref_cordon,article_prix_unitaire
0043543,Tuyau silic/renforcé di 4.2,07EUGPPC0761,0.09
0043544,Tuyau silic renforcé di 4.2,07EUGPPC0771,0.18
0043545,Tuyau silic/renforcé di 4.2 da 8.0/90mm,07EUGPPC0232,0.19
0043546,Tuyau silic 4.0*1.75*260 60,Non Référencé CORDON,0
0043548,Tuyau silic 04.0x1.75x310 60,Non Référencé CORDON,0
0043549,Nervure 704 noir,CS20 - Non Référencé CORDON,0
0043630,Corp. Buse 704 cpl connect system A,07EUGPPC0233,0.6
0043631,Ressort 704 levier commutat,CS20 - Non Référencé CORDON,0
0043632,Rech bouton tourn 704 part. sup cpl,CS20 - Non Référencé CORDON,0
0043633,Rech bouton tourn 704 part. inf cpl,CS20 - Non Référencé CORDON,0
0043634,Rech pompe 704 cpl emballé,07EUGPEM0253,8.18
0043637,Conten lait 704 cache noir,CS20 - Non Référencé CORDON,0
0043639,Réservoir eau 704 cpl,07EUGCOS0482,1.51
0044026,Conten sachet 747/742 voir V2,07EUGCOS0268,0.96
0044030,Bac Collect 758 noir V2,07EUGCOS0271,1.73
0044254,Thermobloc 1080W,Non Référencé CORDON,0
0044269,Outil montage,07EUGOUT0008,55.96
0044356,Circ. imp. comm 742 gauch v2,07EUGPEM0130,12.55
0044357,Circ. imp. comm 742 droite v2,07EUGPEM0145,11.35
0044358,Circ imp IR 742 V3 kalibré,07EUGPEM0131,5.98
0044369,Circ. imp. comm 758 cpl v2,07EUGPEM0133,12.33
0044370,Circ.imp IR 758 cpl V2,07EUGPEM0134,5.61
0044413,Etiqu EAN code 704 CS20,CS20 - Non Référencé CORDON,0
0044533,Raccord Fluide form Y V3,Non Référencé CORDON,0
0044555,Electro 704 main board MOC 600V,CS20 - Non Référencé CORDON,0
0044579,Vis sécu GF/Tapt.M3x20,07EUGPPC0509,0.06
0044583,Tuyau PFA D4.0/2.50x95mm,07EUGPPC0510,0.56
0044666,Module affichage 702 2x20 symb lumière b,07EUGPEM0062,22.7
0044667,Circ.IR détecteur module 702,Non Référencé CORDON,0
0044669,LED 702 cpl,Non Référencé CORDON (Obsolète),0
0044670,Circ imp puissance 702 220-230V vap,07EUGPEM0038,9.48
0044680,Connect 702 7x cpl CP7,07EUGPPC0240,1.38
0044681,Connect 702 7x cpl CP8,07EUGPPC0241,1.38
0044686,cache 705 sortie chrom sortie eau chaude,07EUGCOS0130,2.04
0044688,Réservoir à eau complet,Non Référencé CORDON,0
0044701,Transformateur MS6122 230V,07EUGPEM0039,26.24
0044702,Soupa magn 220-240V 2-voie fermé,07EUGPEM0040,16.46
0044969,Tôle contact 680 bac collect V2,07EUGPPC0582,0.25
0045092,Moteur RS-545 SH,Non Référencé CORDON,0
0045194,Conten caps 703 noir,07EUGPPC0252,2.9
0045195,Support 703 unité extract,07EUGCOS0177,8.35
0045196,Base 703 noir,07EUGPPC0253,3.43
0045201,Paroi lat. 703 alu gauch/droit elox inc.,07EUGCOS0136,13.97
0045202,Paroi arr. 703 noir,07EUGCOS0180,3.43
