TYPE_INTER,MACHINE,KEY,MARQUE,METROPOLE,Type_tarif,Montant,PROD
PREPA ATELIER,MILANO,PREPA ATELIER_MILANO,NESHU,0,Remise niv1,87,2
PREPA ATELIER,MILANO,PREPA ATELIER_MILANO,NESHU,0,Remise niv2,87,2
PREPA ATELIER,MILANO,PREPA ATELIER_MILANO,NESHU,0,Tarif normal,87,2
PREPA ATELIER,MILANO,PREPA ATELIER_MILANO,NESHU,1,Remise niv1,87,2
PREPA ATELIER,MILANO,PREPA ATELIER_MILANO,NESHU,1,Remise niv2,87,2
PREPA ATELIER,MILANO,PREPA ATELIER_MILANO,NESHU,1,Tarif normal,87,2
PREPA ATELIER,SNACKING,PREPA ATELIER_SNACKING,NESHU,0,Remise niv1,87,2
PREPA ATELIER,SNACKING,PREPA ATELIER_SNACKING,NESHU,0,Remise niv2,87,2
PREPA ATELIER,SNACKING,PREPA ATELIER_SNACKING,NESHU,0,Tarif normal,87,2
PREPA ATELIER,SNACKING,PREPA ATELIER_SNACKING,NESHU,1,Remise niv1,87,2
PREPA ATELIER,SNACKING,PREPA ATELIER_SNACKING,NESHU,1,Remise niv2,87,2
PREPA ATELIER,SNACKING,PREPA ATELIER_SNACKING,NESHU,1,Tarif normal,87,2
PREPA ATELIER,MINITOW,PREPA ATELIER_MINITOW,NESHU,0,Remise niv1,87,2
PREPA ATELIER,MINITOW,PREPA ATELIER_MINITOW,NESHU,0,Remise niv2,87,2
PREPA ATELIER,MINITOW,PREPA ATELIER_MINITOW,NESHU,0,Tarif normal,87,2
PREPA ATELIER,MINITOW,PREPA ATELIER_MINITOW,NESHU,1,Remise niv1,87,2
PREPA ATELIER,MINITOW,PREPA ATELIER_MINITOW,NESHU,1,Remise niv2,87,2
PREPA ATELIER,MINITOW,PREPA ATELIER_MINITOW,NESHU,1,Tarif normal,87,2
PREPA ATELIER,FONTAINE A EAU,PREPA ATELIER_FONTAINE A EAU,NESHU,0,Remise niv1,87,2
PREPA ATELIER,FONTAINE A EAU,PREPA ATELIER_FONTAINE A EAU,NESHU,0,Remise niv2,87,2
PREPA ATELIER,FONTAINE A EAU,PREPA ATELIER_FONTAINE A EAU,NESHU,0,Tarif normal,87,2
PREPA ATELIER,FONTAINE A EAU,PREPA ATELIER_FONTAINE A EAU,NESHU,1,Remise niv1,87,2
PREPA ATELIER,FONTAINE A EAU,PREPA ATELIER_FONTAINE A EAU,NESHU,1,Remise niv2,87,2
PREPA ATELIER,FONTAINE A EAU,PREPA ATELIER_FONTAINE A EAU,NESHU,1,Tarif normal,87,2
DESINSTALLATION,MILANO,DESINSTALLATION_MILANO,EXPRESSO,0,Remise niv1,82,1
DESINSTALLATION,MILANO,DESINSTALLATION_MILANO,EXPRESSO,0,Remise niv2,82,1
DESINSTALLATION,MILANO,DESINSTALLATION_MILANO,EXPRESSO,0,Tarif normal,82,1
DESINSTALLATION,MILANO,DESINSTALLATION_MILANO,EXPRESSO,1,Remise niv1,82,1
DESINSTALLATION,MILANO,DESINSTALLATION_MILANO,EXPRESSO,1,Remise niv2,82,1
DESINSTALLATION,MILANO,DESINSTALLATION_MILANO,EXPRESSO,1,Tarif normal,82,1
