TYPE_INTER,MACHINE,KEY,MARQUE,METROPOLE,Type_tarif,Montant,PROD
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAANTECH,1,Remise niv2,85,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAANTECH,1,Tarif normal,155,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAANTECH,0,Remise niv1,79,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAANTECH,0,Remise niv2,58,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAANTECH,0,Tarif normal,105,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAANTECH,1,Remise niv1,79,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAANTECH,1,Remise niv2,58,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAANTECH,1,Tarif normal,105,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAANTECH,0,Remise niv1,71,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAANTECH,0,Remise niv2,52,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAANTECH,0,Tarif normal,95,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAANTECH,1,Remise niv1,71,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAANTECH,1,Remise niv2,52,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAANTECH,1,Tarif normal,95,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,DAANTECH,0,Remise niv1,86,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,DAANTECH,0,Remise niv2,63,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,DAANTECH,0,Tarif normal,115,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,DAANTECH,1,Remise niv1,86,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,DAANTECH,1,Remise niv2,63,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,DAANTECH,1,Tarif normal,115,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,DAANTECH,0,Remise niv1,71,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,DAANTECH,0,Remise niv2,52,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,DAANTECH,0,Tarif normal,95,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,DAANTECH,1,Remise niv1,71,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,DAANTECH,1,Remise niv2,52,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,DAANTECH,1,Tarif normal,95,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,EXPRESSO,0,Remise niv1,116,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,EXPRESSO,0,Remise niv2,85,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,EXPRESSO,0,Tarif normal,155,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,EXPRESSO,1,Remise niv1,116,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,EXPRESSO,1,Remise niv2,85,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,EXPRESSO,1,Tarif normal,155,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,EXPRESSO,0,Remise niv1,79,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,EXPRESSO,0,Remise niv2,58,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,EXPRESSO,0,Tarif normal,105,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,EXPRESSO,1,Remise niv1,79,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,EXPRESSO,1,Remise niv2,58,1
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,EXPRESSO,1,Tarif normal,105,1
CURATIVE J+2,MILANO,CURATIVE J+2_MILANO,EXPRESSO,0,Remise niv1,110,1
CURATIVE J+2,MILANO,CURATIVE J+2_MILANO,EXPRESSO,0,Remise niv2,110,1
CURATIVE J+2,MILANO,CURATIVE J+2_MILANO,EXPRESSO,0,Tarif normal,110,1
CURATIVE J+2,MILANO,CURATIVE J+2_MILANO,EXPRESSO,1,Remise niv1,110,1
CURATIVE J+2,MILANO,CURATIVE J+2_MILANO,EXPRESSO,1,Remise niv2,110,1
CURATIVE J+2,MILANO,CURATIVE J+2_MILANO,EXPRESSO,1,Tarif normal,110,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,EXPRESSO,0,Remise niv1,71,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,EXPRESSO,0,Remise niv2,52,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,EXPRESSO,0,Tarif normal,95,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,EXPRESSO,1,Remise niv1,71,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,EXPRESSO,1,Remise niv2,52,1
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,EXPRESSO,1,Tarif normal,95,1
INSTALLATION PROG - EXPRESSO,LAVE VAISSELLE,INSTALLATION PROG - EXPRESSO_LAVE VAISSELLE,EXPRESSO,0,Remise niv1,82,1
INSTALLATION PROG - EXPRESSO,LAVE VAISSELLE,INSTALLATION PROG - EXPRESSO_LAVE VAISSELLE,EXPRESSO,0,Remise niv2,82,1
INSTALLATION PROG - EXPRESSO,LAVE VAISSELLE,INSTALLATION PROG - EXPRESSO_LAVE VAISSELLE,EXPRESSO,0,Tarif normal,82,1
INSTALLATION PROG - EXPRESSO,LAVE VAISSELLE,INSTALLATION PROG - EXPRESSO_LAVE VAISSELLE,EXPRESSO,1,Remise niv1,82,1
INSTALLATION PROG - EXPRESSO,LAVE VAISSELLE,INSTALLATION PROG - EXPRESSO_LAVE VAISSELLE,EXPRESSO,1,Remise niv2,82,1
INSTALLATION PROG - EXPRESSO,LAVE VAISSELLE,INSTALLATION PROG - EXPRESSO_LAVE VAISSELLE,EXPRESSO,1,Tarif normal,82,1
INSTALLATION PROG - EXPRESSO,MILANO,INSTALLATION PROG - EXPRESSO_MILANO,EXPRESSO,0,Remise niv1,82,1
INSTALLATION PROG - EXPRESSO,MILANO,INSTALLATION PROG - EXPRESSO_MILANO,EXPRESSO,0,Remise niv2,82,1
INSTALLATION PROG - EXPRESSO,MILANO,INSTALLATION PROG - EXPRESSO_MILANO,EXPRESSO,0,Tarif normal,82,1
INSTALLATION PROG - EXPRESSO,MILANO,INSTALLATION PROG - EXPRESSO_MILANO,EXPRESSO,1,Remise niv1,82,1
INSTALLATION PROG - EXPRESSO,MILANO,INSTALLATION PROG - EXPRESSO_MILANO,EXPRESSO,1,Remise niv2,82,1
